優惠店家名稱,餐廳地址,好康條件,好康類型,好康內容
家溫度湯專門店(分享家食品股份有限公司),臺北市信義區忠孝東路五段8號B2,自備餐盒,折價,自備容器盛裝湯品折10元(單點湯品1個500ml以上容器折10元，套裝需備有2個300ml以上容器才折10元)
好丘,台北統一時代百貨B1,自備餐盒,集點,以環保容器購買貝果，一顆可集3點，集滿40點可換一顆40元以下貝果
大河屋-微風廣場,臺北市松山區復興南路一段39號GF,自備筷子或湯匙或刀叉,贈送餐飲,贈送開胃小菜一碟
上海茶樓,臺北市松山區復興南路一段39號GF,自備餐盒、自備筷子或湯匙或刀叉,贈送餐飲,黃金泡菜(價值120元)
一品香排骨飯,臺北市松山區復興南路一段39號B1F,自備餐盒,折價,折價5元
東海萊姆園,臺北市松山區復興南路一段39號GF,自備餐盒,贈送餐飲,萊姆雪酪一個
富士火鍋鐵板燒,臺北市松山區復興南路一段39號B1F,自備餐盒,折價,自備餐盒折價5元
Fridays,臺北市信義區松高路16號3樓,自備吸管,折價,自備環保吸管一杯飲料折10元
ICE MONSTER(微風松高店),臺北市信義區松高路16號,自備餐盒,折價,折價5元
Texas Roadhouse,臺北市信義區松高路16號3樓,自備吸管,折價,自備環保吸管，飲料折10元
台灣九州屋9 Palette Parlor,臺北市信義區松智路17號2樓,自備餐盒,折價,自備杯子折價5元
le Boulanger de monge,臺北市信義區松智路17號2樓,自備餐盒,折價,自備外帶飲料杯享折價2元
JAPAN RAIL CAFE ,臺北市信義區松智路17號 微風南山艾妥列4樓,自備餐盒,折價,限飲品外帶(自帶飲料杯折價10元)
Rosmarino 南山店,臺北市信義區松智路17號B2,自備餐盒,折價,外帶自備餐盒折抵10元
宮武讚岐烏龍麵,臺北市信義區松智路17號B2,自備餐盒,贈品,送溫泉蛋
蔬河有限公司,臺北市中正區忠孝西路一段66號,自備餐盒,折價,折價5元
KOBE SWEETS CAFE 神戶果?,臺北市信義區松智路17號3樓,自備餐盒,折價,自備飲品杯，折扣2元
凱逸食品有限公司(凱林鐵板燒),臺北市大安區忠孝東路三段300號B2,自備餐盒,贈送餐飲,蔥花煎蛋乙顆(限外帶)
韓鶴亭,臺北市大安區忠孝東路三段300號B2,自備餐盒、自備筷子或湯匙或刀叉,折價,凡來店外帶自備餐盒及餐具，即可折抵5元
新佳海南雞飯,臺北市大安區忠孝東路三段300號B2,自備餐盒,折價,外帶自備餐盒每份餐點折價10元
